Package Name,Analyzer Version,Dev Version,Dev Date,Published Date,Published Version,Repository URL,Created At,Updated At
xserver,^6.4.1,0.2.0,2025-07-03T22:08:28.000,2024-08-05T17:20:42.000,0.2.0,https://github.com/shtse8/xserver,2025-07-03T22:08:28.000,2025-07-03T22:08:28.000
flutter_sqlite_orm,,,2025-07-03T22:08:27.000,2025-05-08T17:06:50.000,0.1.1,,2025-07-03T22:08:27.000,2025-07-03T22:08:27.000
alan3,,,2025-07-03T22:08:26.000,2023-02-10T04:53:49.000,0.51.1,,2025-07-03T22:08:26.000,2025-07-03T22:08:26.000
alan,^5.12.0,0.41.4+1,2025-07-03T22:08:26.000,2023-05-17T17:03:01.000,0.41.4+1,https://github.com/alan-sdk/alan.dart,2025-07-03T22:08:26.000,2025-07-03T22:08:26.000
leto_generator,,unknown,2025-07-03T22:08:25.000,2023-07-17T05:21:00.000,0.0.1-dev.4,https://github.com/juancastillo0/leto,2025-07-03T22:08:25.000,2025-07-03T22:08:25.000
revali_client_gen,,,2025-07-03T22:08:24.000,2025-05-30T20:48:26.000,1.3.1,https://github.com/mrgnhnt96/revali/tree/main/constructs/revali_client,2025-07-03T22:08:24.000,2025-07-03T22:08:24.000
daravel_core,,,2025-07-03T22:08:23.000,2024-11-10T17:37:47.000,0.0.3,,2025-07-03T22:08:23.000,2025-07-03T22:08:23.000
google_cloudevents_dart,,,2025-07-03T22:08:23.000,2024-03-29T22:09:39.000,0.0.2,https://github.com/a-wallen/google_cloudevents_dart.git,2025-07-03T22:08:23.000,2025-07-03T22:08:23.000
http_client_plugin,^6.0.0,0.0.2-dev,2025-07-03T22:08:22.000,2023-10-24T21:58:09.000,0.0.1,https://github.com/spideythewebhead/http_client_plugin,2025-07-03T22:08:22.000,2025-07-03T22:08:22.000
boing_data_dpa,^7.3.0,0.0.1,2025-07-03T22:08:22.000,2025-02-23T23:12:34.000,0.0.1,https://github.com/evandersondev/boing_data_dpa,2025-07-03T22:08:22.000,2025-07-03T22:08:22.000
backfit,,,2025-07-03T22:08:20.000,2022-06-15T07:12:01.000,0.0.2+8,https://github.com/astralstriker/backfit,2025-07-03T22:08:20.000,2025-07-03T22:08:20.000
conduit_core,,5.1.5,2025-07-03T22:08:20.000,2025-03-31T04:00:31.000,5.1.5,https://github.com/conduit-dart/conduit,2025-07-03T22:08:20.000,2025-07-03T22:08:20.000
graphql_switch,,,2025-07-03T22:08:19.000,2022-08-20T16:37:10.000,0.0.1-alpha.1,https://github.com/heftapp/graphql_codegen/tree/main/packages/graphql_switch,2025-07-03T22:08:19.000,2025-07-03T22:08:19.000
xanno,,,2025-07-03T22:08:18.000,2023-03-02T04:19:43.000,0.0.9+8,https://gitee.com/337317439/xanno/tree/master/,2025-07-03T22:08:18.000,2025-07-03T22:08:18.000
retrofit_flutter,,,2025-07-03T22:08:15.000,2024-08-30T12:05:50.000,1.1.2,,2025-07-03T22:08:15.000,2025-07-03T22:08:15.000
http_api_generator,^5.0.0,1.1.2,2025-07-03T22:08:14.000,2023-05-11T08:58:22.000,1.1.2,https://github.com/xiaozhizhong/http_api,2025-07-03T22:08:14.000,2025-07-03T22:08:14.000
revali_server,^6.11.0,1.14.0,2025-07-03T22:08:13.000,2025-05-08T17:11:51.000,1.14.0,https://github.com/mrgnhnt96/revali/tree/main/constructs/revali_server,2025-07-03T22:08:13.000,2025-07-03T22:08:13.000
dart_lmdb2,,,2025-07-03T22:08:12.000,2025-05-20T00:18:17.000,0.9.12,https://github.com/grammatek/dart_lmdb2,2025-07-03T22:08:12.000,2025-07-03T22:08:12.000
flat_generator,,,2025-07-03T22:08:12.000,2023-03-04T08:57:56.000,1.6.3,,2025-07-03T22:08:12.000,2025-07-03T22:08:12.000
katana_router_builder,^7.0.0,3.0.3,2025-07-03T22:08:11.000,2025-06-10T16:35:07.000,3.0.3,https://github.com/mathrunet/flutter_masamune/tree/master/packages/katana_router_builder,2025-07-03T22:08:11.000,2025-07-03T22:08:11.000
drift_model_generator,^6.4.1,0.7.0,2025-07-03T22:08:10.000,2024-02-26T12:45:53.000,0.7.0,https://github.com/skyfet/drift_model_generator,2025-07-03T22:08:10.000,2025-07-03T22:08:10.000
sql_serializable,,,2025-07-03T22:08:09.000,2023-02-05T18:39:44.000,0.1.1-dev.0,https://github.com/abitofevrything/sql_serializable,2025-07-03T22:08:09.000,2025-07-03T22:08:09.000
sqflite_entities,^5.9.0,0.0.3+1,2025-07-03T22:08:08.000,2023-03-23T16:21:31.000,0.0.3+1,https://github.com/guid-empty/sqflite_entities,2025-07-03T22:08:08.000,2025-07-03T22:08:08.000
tridev,,,2025-07-03T22:08:07.000,2022-10-23T16:33:43.000,1.0.1,,2025-07-03T22:08:07.000,2025-07-03T22:08:07.000
aquedart,,,2025-07-03T22:08:07.000,2021-10-26T08:50:54.000,5.0.4,https://github.com/EddieKamau/aquedart,2025-07-03T22:08:07.000,2025-07-03T22:08:07.000
dox_builder,,unknown,2025-07-03T22:08:06.000,2023-12-29T17:16:00.000,2.0.0,https://github.com/dartondox/dox,2025-07-03T22:08:06.000,2025-07-03T22:08:06.000
dart_datasource_generator,>=5.0.0 <7.0.0,0.0.5,2025-07-03T22:08:05.000,2023-10-09T08:25:23.000,0.0.5,https://github.com/krikristoophe/dart_datasource_generator/tree/master/dart_datasource_generator,2025-07-03T22:08:05.000,2025-07-03T22:08:05.000
roflit_s3,null,0.0.3,2025-07-03T22:08:04.000,2024-10-23T08:20:57.000,0.0.3,https://github.com/KubrickRubrik/roflit_s3,2025-07-03T22:08:04.000,2025-07-03T22:08:04.000
shelf_api_builder,,unknown,2025-07-03T22:08:04.000,2025-03-16T10:25:01.000,1.2.2,https://github.com/Skycoder42/shelf_api,2025-07-03T22:08:04.000,2025-07-03T22:08:04.000
rapidfuzz,^7.0.0,0.1.1,2025-07-03T22:08:03.000,2025-03-31T10:39:40.000,0.1.1,https://github.com/SphericalKat/rapidfuzz-flutter,2025-07-03T22:08:03.000,2025-07-03T22:08:03.000
brick_offline_first_with_rest_build,,unknown,2025-07-03T22:08:02.000,2025-02-24T05:53:48.000,4.0.0,https://github.com/GetDutchie/brick,2025-07-03T22:08:02.000,2025-07-03T22:08:02.000
dart_mediatr,,,2025-07-03T22:08:01.000,2024-10-11T20:07:33.000,1.0.5,https://github.com/farajshuaib/flutter_mediator.git,2025-07-03T22:08:01.000,2025-07-03T22:08:01.000
openapi_repository,,unknown,2025-07-03T22:08:01.000,2025-06-23T10:52:47.000,4.0.1,https://github.com/djangoflow/list_bloc/,2025-07-03T22:08:01.000,2025-07-03T22:08:01.000
brick_build,,unknown,2025-07-03T22:08:00.000,2025-02-18T07:03:32.000,4.0.0,https://github.com/GetDutchie/brick,2025-07-03T22:08:00.000,2025-07-03T22:08:00.000
ngcompiler,,unknown,2025-07-03T22:07:59.000,2022-08-31T04:13:53.000,2.1.3,https://github.com/angulardart-community/angular,2025-07-03T22:07:59.000,2025-07-03T22:07:59.000
mongo_document,,unknown,2025-07-03T22:07:58.000,2025-06-11T10:45:24.000,1.4.5,https://github.com/wanclem/mongo_document,2025-07-03T22:07:58.000,2025-07-03T22:07:58.000
